Step; State; Reward
142; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
143; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
144; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
145; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
146; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
147; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
148; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
149; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
150; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
151; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
152; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
153; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
154; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
155; [[0.335 7.805 0.    0.323 0.    0.    7.74  7.727 0.33  7.727 7.727 0.
  0.    0.    0.    0.   ]]; [0.]
